panel,series,time_year,value
bias_sigma,spectral_kurtosis,1.49275743,373.499996
bias_sigma,spectral_kurtosis,1.70997509,374.585119
bias_sigma,spectral_kurtosis,1.95880104,375.229181
bias_sigma,spectral_kurtosis,2.24383755,373.324159
bias_sigma,spectral_kurtosis,2.57034816,374.970004
bias_sigma,spectral_kurtosis,2.94437444,375.135076
bias_sigma,spectral_kurtosis,3.37282323,371.900202
bias_sigma,spectral_kurtosis,3.86361749,367.807895
bias_sigma,spectral_kurtosis,4.42583489,365.374676
bias_sigma,spectral_kurtosis,5.06985748,362.435741
bias_sigma,spectral_kurtosis,5.80759461,359.348639
bias_sigma,spectral_kurtosis,6.65269141,358.973842
bias_sigma,spectral_kurtosis,7.62075362,355.237221
bias_sigma,spectral_kurtosis,8.72969371,348.330831
bias_sigma,spectral_kurtosis,9.99998961,341.739804
bias_sigma,pilot_proxy,0.0500000286,17.6989849
bias_sigma,pilot_proxy,0.0572757514,17.7992796
bias_sigma,pilot_proxy,0.0656102783,18.0054114
bias_sigma,pilot_proxy,0.0751575168,18.1929962
bias_sigma,pilot_proxy,0.0860941233,18.3446003
bias_sigma,pilot_proxy,0.0986220556,18.4643633
bias_sigma,pilot_proxy,0.112972982,18.5570475
bias_sigma,pilot_proxy,0.129412336,18.6273065
bias_sigma,pilot_proxy,0.148243691,18.7274546
bias_sigma,pilot_proxy,0.169815491,18.912624
bias_sigma,pilot_proxy,0.194526086,19.1369016
bias_sigma,pilot_proxy,0.222832427,19.3710797
bias_sigma,pilot_proxy,0.255258067,19.5851696
bias_sigma,pilot_proxy,0.292401784,19.7121454
bias_sigma,pilot_proxy,0.334950446,20.0567482
bias_sigma,pilot_proxy,0.383691029,20.2822553
bias_sigma,pilot_proxy,0.439523589,20.4308576
bias_sigma,pilot_proxy,0.503481217,20.6153006
bias_sigma,pilot_proxy,0.57674497,20.8711255
bias_sigma,pilot_proxy,0.660669653,21.0749472
bias_sigma,pilot_proxy,0.756807528,21.3926423
bias_sigma,pilot_proxy,0.8669339,21.7128143
bias_sigma,pilot_proxy,0.993086483,21.9198238
bias_sigma,pilot_proxy,1.13759484,22.0239112
bias_sigma,pilot_proxy,1.30313124,22.2429904
bias_sigma,pilot_proxy,1.49275743,22.4562768
bias_sigma,pilot_proxy,1.70997509,22.6154019
bias_sigma,pilot_proxy,1.95880104,22.9190302
bias_sigma,pilot_proxy,2.24383755,23.1391276
bias_sigma,pilot_proxy,2.57034816,23.205914
bias_sigma,pilot_proxy,2.94437444,23.2937742
bias_sigma,pilot_proxy,3.37282323,23.4513411
bias_sigma,pilot_proxy,3.86361749,23.4156864
bias_sigma,pilot_proxy,4.42583489,23.4300416
bias_sigma,pilot_proxy,5.06985748,23.4981125
bias_sigma,pilot_proxy,5.80759461,23.472771
bias_sigma,pilot_proxy,6.65269141,23.3940318
bias_sigma,pilot_proxy,7.62075362,23.527545
bias_sigma,pilot_proxy,8.72969371,23.411642
bias_sigma,pilot_proxy,9.99998961,23.1519983
